"model","NO","te O3","tr+te O3","te Oz","tr+te Oz","te ollvm","tr+te ollvm","te ollvm_fla","tr+te ollvm_fla","te ollvm_sub","tr+te ollvm_sub","te ollvm_bcf","tr+te ollvm_bcf","comb-te NO","comb-te O3","comb-te OLLVM", "te ollvm+O3", "tr+te ollvm+O3",type
knn,0.5889,0.0393,0.5880,0.0496,0.6130,0.0345,0.2348,0.2666,0.5500,0.4347,0.5784,0.0706,0.3896,0.4959,0.5530,0.2151,0.0448,0.347, recall
random_forest,0.7814,0.1308,0.7813,0.1670,0.7916,0.0989,0.5409,0.7603,0.8219,0.59,0.7991,0.1663,0.6165,0.7176,0.7439,0.5213,0.1489,0.6502, recall
svm,0.3660,0.0674,0.3420,0.0904,0.3857,0.0294,0.2079,0.1150,0.3669,0.1797,0.3548,0.0525,0.3085,0.2009,0.3294,0.1891,0.0172,0.3012, recall
reg_logistica,0.1973,0.0142,0.2541,0.0160,0.1926,0.0166,0.1808,0.0748,0.2233,0.0707,0.2596,0.0312,0.2335,0.2309,0.2125,0.1722,0.0189,0.1878, recall
sgd,0.2653,0.0546,0.2766,0.0620,0.3303,0.0145,0.2004,0.1683,0.3552,0.1034,0.2993,0.0449,0.2448,0.1736,0.2341,0.1402,0.0298,0.219, recall
mlp,0.7395,0.0747,0.7082,0.1125,0.7491,0.0227,0.5493,0.1940,0.7695,0.1517,0.7273,0.04,0.6729,0.6397,0.6620,0.5218,0.0422,0.6175, recall
knn,0.5848,0.0297,0.5818,0.0352,0.6109,0.0239,0.2166,0.2583,0.5459,0.4198,0.5721,0.0586,0.3746,0.4912,0.5429,0.2024,0.0292,0.3295, f1
random_forest,0.7782,0.1096,0.7783,0.1412,0.7895,0.0746,0.5352,0.7600,0.8222,0.5918,0.7974,0.1433,0.6175,0.7134,0.7389,0.5097,0.1198,0.6415, f1
svm,0.3788,0.0475,0.3426,0.0649,0.3860,0.0157,0.2014,0.1326,0.3649,0.1559,0.3438,0.0495,0.311,0.1827,0.3083,0.1747,0.0148,0.2846, f1
reg_logistica,0.1470,0.0077,0.2162,0.0102,0.1356,0.0028,0.1484,0.0421,0.1768,0.0359,0.2145,0.0132,0.1959,0.1803,0.1790,0.1378,0.0058,0.1471, f1
sgd,0.2488,0.0398,0.2651,0.0480,0.3187,0.0099,0.1737,0.1388,0.3183,0.0791,0.2807,0.027,0.2315,0.1583,0.2065,0.1198,0.0185,0.2086, f1
mlp,0.7379,0.0583,0.7054,0.0892,0.7478,0.0131,0.542,0.1814,0.7662,0.1451,0.7237,0.0405,0.6691,0.6356,0.6579,0.5067,0.0257,0.6042, f1
