"model","NO","te O3","tr+te O3","te Oz","tr+te Oz","te ollvm","tr+te ollvm","te ollvm_fla","tr+te ollvm_fla","te ollvm_sub","tr+te ollvm_sub","te ollvm_bcf","tr+te ollvm_bcf","comb-te NO","comb-te O3","comb-te OLLVM", "te ollvm+O3", "tr+te ollvm+O3",type
knn,0.5868,0.0379,0.5844,0.0521,0.6116,0.0452,0.3051,0.2802,0.5789,0.4513,0.6033,0.1000,0.4893,0.4936,0.5496,0.2790,0.0578,0.4339, acc
random_forest,0.7792,0.1278,0.7786,0.1722,0.7915,0.1210,0.6405,0.7826,0.8412,0.6128,0.8164,0.2217,0.7004,0.7147,0.7420,0.6217,0.1865,0.7339, acc
svm,0.3637,0.0673,0.3371,0.0876,0.3850,0.0540,0.3257,0.1309,0.4092,0.2017,0.3857,0.0847,0.4340,0.1980,0.3224,0.2855,0.0342,0.4445, acc
reg_logistica,0.1942,0.0127,0.2531,0.0177,0.1979,0.0211,0.2329,0.0748,0.2217,0.0615,0.2563,0.0476,0.2899,0.2235,0.2107,0.2270,0.0264,0.2408, acc
sgd,0.2630,0.0556,0.2760,0.0629,0.3275,0.0164,0.2808,0.1739,0.3801,0.1089,0.3145,0.0482,0.3320,0.1683,0.2331,0.1938,0.0316,0.2876, acc
mlp,0.7370,0.0725,0.7067,0.1130,0.7490,0.0302,0.6499,0.2095,0.7899,0.1655,0.7414,0.0638,0.7486,0.6375,0.6597,0.6258,0.0655,0.7290, acc
knn,0.0381,0.0343,0.0453,0.0311,0.0422,0.0334,0.048,0.0462,0.0430,0.0392,0.0432,0.0393,0.0468,0.0482,0.0371,0.0392,0.0326,0.0575, time
random_forest,6.2909,6.3947,6.7916,5.7938,5.7870,6.1911,7.8937,5.7904,5.9931,6.1992,6.299,6.2899,7.304,8.4053,8.4132,8.4018,5.8847,6.7905, time
svm,280.5878,313.1986,339.1659,267.7014,290.7950,280.0477,326.2176,306.5775,279.3816,307.4445,294.6849,293.9815,293.9497,359.3258,340.5148,356.6909,275.317,286.7907, time
reg_logistica,30.4796,30.6873,31.6496,26.4529,26.7763,30.7067,33.9061,33.4528,33.3884,34.3759,33.3274,34.119,34.3626,34.1928,34.5630,32.9072,28.5138,31.1263, time
sgd,19.6762,21.5893,17.3749,17.7771,15.8006,19.9981,20.7948,20.8866,19.1853,21.2943,19.7028,18.4856,20.3112,19.5845,16.6690,17.7793,18.8858,17.3795, time
mlp,116.7101,119.9148,118.2422,112.9382,127.2025,116.8145,120.5346,120.2524,117.1256,120.6828,120.9739,116.0935,120.7161,110.6663,108.2271,111.6463,116.2545,105.2843, time
knn,0.6023,0.0637,0.6036,0.0550,0.6305,0.0774,0.2311,0.3347,0.5710,0.4785,0.587,0.1651,0.4053,0.512,0.5689,0.2252,0.0867,0.3472, precision
random_forest,0.7823,0.1878,0.7855,0.2251,0.7946,0.1600,0.5648,0.8126,0.8318,0.7193,0.8099,0.2982,0.6594,0.7184,0.7489,0.5339,0.2434,0.6726, precision
svm,0.5417,0.1111,0.5404,0.1075,0.5254,0.0444,0.2981,0.2984,0.5069,0.2307,0.4826,0.145,0.4497,0.2756,0.4391,0.2484,0.0543,0.393, precision
reg_logistica,0.1854,0.0173,0.2426,0.0410,0.1566,0.0107,0.1685,0.0568,0.2318,0.057,0.2384,0.0269,0.2407,0.2099,0.2135,0.1645,0.0256,0.1642, precision
sgd,0.3759,0.1039,0.3971,0.0863,0.4350,0.0346,0.2609,0.2066,0.3931,0.1394,0.3689,0.0949,0.3516,0.2336,0.3234,0.1730,0.0809,0.3246, precision
mlp,0.7498,0.0988,0.7112,0.1374,0.7584,0.0495,0.5898,0.3280,0.7777,0.2322,0.7381,0.121,0.6963,0.6544,0.6670,0.5468,0.0556,0.6149, precision
