bench, time (s), std (s)
ackermann.c, 2.6367, 0.0412
ary3.c, 1.4818, 0.2620
binary-trees.c, 8.1252, 0.5194
fannkuch-redux.c, 0.0074, 0.0003
fasta.c, 1.7246, 0.0776
fib2.c, 3.0137, 0.0213
hash.c, 5.3629, 0.1915
heapsort.c, 4.8725, 0.0432
lists.c, 8.7596, 0.0340
mandelbrot.c, 9.8867, 0.0245
matrix.c, 2.8422, 0.0091
methcall.c, 5.8813, 0.0079
n-body.c, 1.7046, 0.0116
nestedloop.c, 0.0000, 0.0000
objinst.c, 0.0000, 0.0000
random.c, 4.6667, 0.0234
regex-redux.c, 3.9468, 0.0122
sieve.c, 4.8963, 0.0499
spectral-norm.c, 9.6064, 0.0417
strcat.c, 4.9914, 0.0118
